movie,date,post_count,avg_sentiment,total_engagement
Michael,2025-08-01,6,0.3705333333333334,32.306041710793615
Michael,2025-08-02,2,0.2059,10.314868461073598
Michael,2025-08-03,3,0.36933333333333335,18.710674556335654
Michael,2025-08-04,6,-0.011049999999999996,35.961006714731276
Michael,2025-08-05,4,0.315725,22.996018133654847
Michael,2025-08-06,8,0.3074,45.36407005888803
Michael,2025-08-07,8,0.1912,46.852966223442195
Michael,2025-08-08,3,0.023033333333333336,17.716888050456173
Michael,2025-08-09,5,0.09826000000000004,28.775202982613663
Michael,2025-08-10,7,0.25252857142857144,41.20806626150963
Michael,2025-08-11,7,0.10258571428571428,40.12447343494475
Michael,2025-08-12,6,-0.06061666666666667,35.19428291554402
Michael,2025-08-13,4,-0.21235,22.750246855166807
Michael,2025-08-14,2,0.1602,11.78670509475291
Michael,2025-08-15,2,0.18805000000000002,11.95467428515564
Michael,2025-08-16,3,0.2269,16.917224369301927
Michael,2025-08-17,8,0.046150000000000004,47.84090002966778
Michael,2025-08-18,5,0.38079999999999997,29.87304305225976
Michael,2025-08-19,3,0.03423333333333333,16.05506159754143
Michael,2025-08-20,5,0.12972,29.46367083926712
Michael,2025-08-21,3,0.23776666666666665,17.71521848312201
Michael,2025-08-22,4,0.389725,23.190601189219333
Michael,2025-08-23,4,0.33594999999999997,23.418666873618154
Michael,2025-08-24,4,0.15265,22.782893033768918
Michael,2025-08-25,5,0.04914,27.688810954751112
Michael,2025-08-26,4,0.09465000000000001,23.227366646874785
Michael,2025-08-27,5,0.32742,28.079860726806288
Michael,2025-08-28,2,0.4907,12.13808418017275
Michael,2025-08-29,6,0.28150000000000003,34.82509340553899
Michael,2025-08-30,3,0.08209999999999999,17.007426201249693
Michael,2025-08-31,4,0.352125,21.968832896882233
Michael,2025-09-01,4,-0.23520000000000002,23.29561221540586
Michael,2025-09-02,5,0.5763,28.336695537114764
Michael,2025-09-03,4,-0.086275,23.695618037125946
Michael,2025-09-04,5,0.17752,27.501390904363483
Michael,2025-09-05,8,0.3392,45.78766816350294
Michael,2025-09-06,5,-0.047839999999999994,29.661854879186755
Michael,2025-09-07,6,0.27948333333333336,34.73229393280073
Michael,2025-09-08,6,0.14076666666666668,35.41394965557675
Michael,2025-09-09,5,-0.05122,28.116184186160332
Michael,2025-09-10,4,0.45905,22.25557644302909
Michael,2025-09-11,7,0.28588571428571424,42.517918811643014
Michael,2025-09-12,5,0.45305999999999996,27.469481800356746
Michael,2025-09-13,4,-0.08122499999999999,22.894837285127217
Michael,2025-09-15,2,0.57125,11.594998417992532
Michael,2025-09-16,6,0.26028333333333337,36.06793798438302
Michael,2025-09-17,6,0.34375,32.97525217519813
Michael,2025-09-18,6,0.3747833333333333,33.762535313381385
Michael,2025-09-19,3,0.0946,16.789627264339238
Michael,2025-09-20,7,0.09634285714285716,42.33211566577306
Michael,2025-09-21,4,0.168375,22.966020337494562
Michael,2025-09-22,3,0.07543333333333334,17.2419979834753
Michael,2025-09-24,3,-0.25166666666666665,17.40048343893352
Michael,2025-09-25,2,0.17800000000000002,10.72526428756817
Michael,2025-09-26,4,0.009975000000000012,23.703852697896203
Michael,2025-09-27,9,0.3723666666666667,53.072503074057906
Michael,2025-09-28,3,-0.01733333333333334,16.717135943093403
Michael,2025-09-29,2,0.02200000000000002,11.098417089502394
Michael,2025-09-30,9,0.20904444444444445,51.06541331743555
Michael,2025-10-01,1,0.1501,6.052089168924417
Michael,2025-10-02,9,0.08965555555555554,52.22220749523596
Michael,2025-10-03,2,-0.1909,11.25949021791363
Michael,2025-10-04,3,0.0,16.877128390305614
Michael,2025-10-05,7,0.08568571428571428,39.33262149961456
Michael,2025-10-06,5,0.26742,28.232115182744504
Michael,2025-10-07,2,-0.1909,10.160916581816888
Michael,2025-10-08,4,0.11982499999999999,22.42223552535388
Michael,2025-10-09,8,0.28271250000000003,45.86715859280921
Michael,2025-10-10,4,-0.1357,24.29070990231898
Michael,2025-10-12,5,0.14162000000000002,28.384294543850242
Michael,2025-10-13,6,0.23808333333333334,33.719042586335746
Michael,2025-10-14,3,0.6860333333333334,14.562798443936575
Michael,2025-10-16,3,0.18783333333333332,15.98450025628571
Michael,2025-10-17,6,0.028483333333333343,34.12819356659164
