movie,post_id,pca_x,pca_y,cluster_id,cluster_label,vader_compound,sentiment_label,engagement_score
Michael,MIC_0297,-0.03986456642812452,-0.03697877165087205,0,Legacy Believers,-0.5994,negative,6.637258031284457
Michael,MIC_0363,-0.07511182735162972,-0.030068460547213394,0,Legacy Believers,0.0772,positive,6.206575926724928
Michael,MIC_0190,-0.020764696948922853,-0.022719384189766302,0,Legacy Believers,0.0,neutral,5.803627809625917
Michael,MIC_0201,-0.05413727783182161,-0.04900881183523399,0,Legacy Believers,0.5423,positive,5.698769932832657
Michael,MIC_0214,-0.04979943353122125,0.022588013758309412,0,Legacy Believers,0.4019,positive,6.364750756851911
Michael,MIC_0086,-0.0357680348102995,-0.03683195701065753,0,Legacy Believers,-0.128,negative,5.300814246746624
Michael,MIC_0033,-0.04195320010829225,-0.03134272886332541,0,Legacy Believers,0.1027,positive,6.451259999761194
Michael,MIC_0273,-0.05038008646208204,-0.06462250933438553,0,Legacy Believers,0.0,neutral,6.268148865350222
Michael,MIC_0081,-0.051372305005144746,0.03382407282683095,0,Legacy Believers,-0.2052,negative,4.890349128221754
Michael,MIC_0136,0.037481157426766824,-0.009310385079825678,0,Legacy Believers,0.0,neutral,5.583496308781699
Michael,MIC_0328,0.03493053124912224,-0.01139285279749556,0,Legacy Believers,0.6486,positive,6.229496710915942
Michael,MIC_0101,-0.05162483127530819,-0.06611521332631114,0,Legacy Believers,0.0,neutral,6.137727054086234
Michael,MIC_0019,-0.03235541432442853,0.05293690974973382,0,Legacy Believers,-0.0572,negative,5.2284312390838705
Michael,MIC_0406,0.022073724065184583,0.0498601512295873,0,Legacy Believers,-0.3818,negative,5.654242029096065
Michael,MIC_0413,-0.04089976670110032,0.026958424723142454,0,Legacy Believers,0.5086,positive,5.870708345972182
Michael,MIC_0203,-0.07298379094739374,0.03327926009124616,0,Legacy Believers,0.2933,positive,5.422744944923089
Michael,MIC_0025,-0.0049846213064847125,0.013252774434549707,0,Legacy Believers,-0.2755,negative,6.275703197782002
Michael,MIC_0140,-0.058372454222067244,-0.003268249963436865,0,Legacy Believers,0.2235,positive,6.80903930604298
